1 36 71
280 61 11
281 40 30
282 3 24
283 85 42
284 63 53
285 0 28
286 26 0
287 87 38
288 65 13
289 18 1
290 4 13
291 2 19
292 17 13
293 51 60
294 79 43
295 41 27
296 30 90
297 85 10
298 63 47
299 75 48
300 75 0
301 11 88
302 63 70
303 52 58
304 62 20
305 44 73
306 21 37
307 65 67
308 57 70
309 42 60
310 73 43
311 39 22
312 81 59
313 49 44
314 23 20
315 86 42
316 4 18
317 90 72
318 74 2
319 59 59
320 15 15
321 49 19
322 43 80
323 31 80
324 6 67
325 18 59
326 63 14
327 55 1
328 82 8
329 58 40
330 44 79
331 24 4
332 20 83
333 42 41
334 28 29
335 84 53
336 21 81
337 71 58
338 18 64
339 53 13
340 57 90
341 17 84
342 55 72
343 20 74
344 85 88
345 53 74
346 37 71
347 18 82
348 44 8
349 87 75
350 16 83
351 34 10
352 89 49
353 66 8
354 54 19
355 50 78
356 41 82
357 64 52
358 20 11
359 80 45
360 70 71
361 32 67
362 12 33
363 31 19
364 6 59
365 37 70
366 62 83
367 22 76
368 9 69
369 40 8
370 75 17
371 41 20
372 41 51
373 61 20
374 65 77
375 61 40
376 41 27
377 17 36
378 29 86
379 90 12
380 57 6
381 30 19
382 22 69
383 13 51
384 4 18
385 57 19
386 68 58
387 89 4
388 78 75
389 53 24
390 30 32
391 57 22
392 36 35
393 35 67
394 31 63
395 21 38
396 35 22
397 26 49
398 49 28
399 53 25
400 12 76
401 42 24
402 49 55
403 54 7
404 14 41
405 84 6
406 6 35
407 77 77
408 75 45
409 5 83
410 64 25
411 64 78
412 86 53
413 43 81
414 8 78
415 83 90
416 76 51
417 83 42
418 13 58
419 15 88
420 64 27
421 15 58
422 19 11
423 58 77
424 34 61
425 42 82
426 0 39
427 71 62
428 20 1
429 78 10
430 39 83
431 37 79
432 85 53
433 65 64
434 89 80
435 81 39
436 79 31
437 70 74
438 49 21
439 79 28
440 87 18
441 41 53
442 22 20
443 15 0
444 12 58
445 84 7
446 40 6
447 51 72
448 29 63
449 42 67
450 35 1
451 48 32
452 40 25
453 43 35
454 42 5
455 32 24
456 78 70
457 0 13
458 88 52
459 55 12
460 51 83
461 9 49
462 40 62
463 51 0
464 3 72
465 60 77
466 89 65
467 25 59
468 44 35
469 17 38
470 22 85
471 16 50
472 53 90
473 65 86
474 55 22
475 43 24
476 7 8
477 63 52
478 74 80
479 60 65
480 22 64
481 78 15
482 44 22
483 69 75
484 62 76
485 20 35
486 62 27
487 7 46
488 74 38
489 67 59
490 0 16
491 0 21
492 88 79
493 9 48
494 72 86
495 56 1
496 48 56
497 41 76
498 12 9
499 48 76
500 31 58
501 23 51
502 75 5
503 19 45
504 74 46
505 19 21
506 21 60
507 5 23
508 79 64
509 86 50
510 51 30
511 32 81
512 88 62
513 64 41
514 69 33
515 25 63
516 87 50
517 37 32
518 64 22
519 84 80
520 50 70
521 53 13
522 3 8
523 40 1
524 85 57
525 63 73
526 90 27
527 9 88
528 26 84
529 51 46
530 74 75
531 4 67
532 19 37
533 64 61
534 79 36
535 72 52
536 27 68
537 59 59
538 19 44
539 74 0
540 4 49
541 28 88
542 29 58
543 84 4
544 82 33
545 49 38
546 85 56
547 12 50
548 39 47
549 10 78
550 36 19
551 6 11
552 64 76
553 33 71
554 37 69
555 63 31
556 34 55
557 69 34
558 41 6
559 38 13
560 64 29
561 9 85
562 18 59
563 81 29
564 2 29
565 87 15
566 45 82
567 90 2
568 61 33
569 52 60
570 41 76
571 74 2
572 18 18
573 43 10
574 30 46
575 55 55
576 50 64
577 78 69
578 67 50
579 25 0
580 46 36
581 74 33
582 11 84
583 29 71
584 1 75
585 69 26
586 39 86
587 84 37
588 50 71
589 26 88
590 34 17
591 25 79
592 10 88
593 71 49
594 23 80
595 32 36
596 42 82
597 9 84
598 59 22
599 43 85
600 44 18
601 88 57
602 71 66
603 67 66
604 24 71
605 83 11
606 63 65
607 29 38
608 12 38
609 69 88
610 7 67
611 69 71
612 4 80
613 48 47
614 58 72
615 21 69
616 37 26
617 58 42
618 76 50
619 89 39
620 76 20
621 44 25
622 33 1
623 46 57
624 78 10
625 28 60
626 3 90
627 82 42
628 28 34
629 23 79
630 81 76
631 62 89
632 41 36
633 19 10
634 1 29
635 16 84
636 41 56
637 53 20
638 0 38
639 13 30
640 56 18
641 89 74
642 36 25
643 65 53
644 12 26
645 66 50
646 26 39
647 23 48
648 63 56
649 69 24
650 45 67
651 53 87
652 23 73
653 58 33
654 53 89
655 4 79
656 54 85
657 33 81
658 45 77
659 49 41
660 72 31
661 43 34
662 0 51
663 71 43
664 31 31
665 40 33
666 77 81
667 5 72
668 10 15
669 85 5
670 38 15
671 25 30
672 88 24
673 3 16
674 1 88
675 80 62
676 55 1
677 15 37
678 8 74
679 8 25
680 47 80
681 83 84
682 22 59
683 1 78
684 30 57
685 22 45
686 29 86
687 16 71
688 88 33
689 1 39
690 42 46
691 69 36
692 30 89
693 63 29
694 42 29
695 28 56
696 84 15
697 39 41
698 23 52
699 46 5
700 32 9
701 84 33
702 28 13
703 54 47
704 51 63
705 13 2
706 44 89
707 6 55
708 52 0
709 45 25
710 87 31
711 9 74
712 82 12
713 57 27
714 80 13
715 43 84
716 36 48
717 64 1
718 57 54
719 48 40
720 64 89
721 3 10
722 9 81
723 61 31
724 39 62
725 83 23
726 33 58
727 25 8
728 37 74
729 8 12
730 4 27
731 38 56
732 56 81
733 87 89
734 26 59
735 69 51
736 45 9
737 48 45
738 29 66
739 4 27
740 9 7
741 14 49
742 50 73
743 45 8
744 25 46
745 54 47
746 8 47
747 59 33
748 89 63
749 83 59
750 29 28
751 21 84
752 72 7
753 37 70
754 8 90
755 24 3
756 21 54
757 15 35
758 39 21
759 90 14
760 56 17
761 13 19
762 44 22
763 66 1
764 22 55
765 7 19
766 22 66
767 0 53
768 28 25
769 25 22
770 22 19
771 23 18
772 88 4
773 58 7
774 28 19
775 2 51
776 52 70
777 78 83
778 48 39
779 2 89
780 63 28
781 7 15
782 66 16
783 13 83
784 45 47
785 19 10
786 29 28
787 80 24
788 19 2
789 54 24
790 65 42
791 89 79
792 23 30
793 18 32
794 48 20
795 73 26
796 65 90
797 1 4
798 73 54
799 39 72
800 64 31
801 63 65
802 18 3
803 20 68
804 15 7
805 72 24
806 64 77
807 43 67
808 19 42
809 76 76
810 67 49
811 69 6
812 82 25
813 37 85
814 57 67
815 36 74
816 39 22
817 52 86
818 90 28
819 90 26
820 15 1
821 10 53
822 85 49
823 32 61
824 14 12
825 73 7
826 39 75
827 80 17
828 27 24
829 81 7
830 36 78
831 9 37
832 54 14
833 68 15
834 76 39
835 44 59
836 31 16
837 7 88
838 86 73
839 15 38
840 74 27
841 29 73
842 83 57
843 51 79
844 5 81
845 3 53
846 4 13
847 25 42
848 86 76
849 22 9
850 4 87
851 51 68
852 20 79
853 21 22
854 46 73
855 8 43
856 34 61
857 83 28
858 9 18
859 39 52
860 56 51
861 27 12
862 30 51
863 54 59
864 11 69
865 72 31
866 48 61
867 53 46
868 13 13
869 76 60
870 23 40
871 63 30
872 32 82
873 45 73
874 66 28
875 56 81
876 68 4
877 11 55
878 60 1
879 0 29
880 57 30
881 59 42
882 49 89
883 53 19
884 12 38
885 39 6
886 70 41
887 48 38
888 87 88
889 58 90
890 81 73
891 71 81
892 39 21
893 53 5
894 30 13
895 53 19
896 1 53
897 16 41
898 74 4
899 48 32
900 17 66
901 67 52
902 30 37
903 9 18
904 26 55
905 41 20
906 18 38
907 1 53
908 42 1
909 13 70
910 59 83
911 84 48
912 71 32
913 46 21
914 56 40
915 76 46
916 56 7
917 34 51
918 64 8
919 56 0
920 4 68
921 17 84
922 60 3
923 15 37
924 85 30
925 73 56
926 55 43
927 46 73
928 56 71
929 8 76
930 40 13
931 81 48
932 56 80
933 2 45
934 17 77
935 49 3
936 10 45
937 77 7
938 77 45
939 81 40
940 56 1
941 4 26
942 80 3
943 29 87
944 41 23
945 52 57
946 25 30
947 25 10
948 80 40
949 23 84
950 32 17
951 71 20
952 40 16
953 56 50
954 82 17
955 71 75
956 77 85
957 14 78
958 17 9
959 57 25
960 61 8
961 51 3
962 6 29
963 38 42
964 68 8
965 80 49
966 5 48
967 9 14
968 75 33
969 5 65
970 82 9
971 14 2
972 77 18
973 49 5
974 53 27
975 23 44
976 72 10
977 11 13
978 66 53
979 13 58
980 44 83
981 31 85
982 53 61
983 1 46
984 78 26
985 7 12
986 47 58
987 86 81
988 41 57
989 3 57
990 74 73
991 9 24
992 68 65
993 18 9
994 3 46
995 18 63
996 87 2
997 64 5
998 12 87
999 28 36
1000 12 8
1001 42 28
1002 36 22
1003 82 29
1004 29 8
1005 0 71
1006 3 7
1007 69 48
1008 70 34
1009 33 27
1010 82 8
1011 17 25
1012 44 84
1013 57 58
1014 21 54
1015 3 23
1016 77 62
1017 2 51
1018 85 61
1019 78 65
1020 34 39
1021 8 56
1022 17 17
1023 35 30
1024 54 50
1025 81 59
1026 49 54
1027 4 51
1028 3 55
1029 71 60
1030 67 20
1031 49 46
1032 25 8
1033 35 82
1034 27 26
1035 47 78
1036 45 60
1037 66 84
1038 41 36
1039 27 69
1040 7 50
1041 39 86
1042 4 76
1043 5 56
1044 58 16
1045 46 18
1046 0 18
1047 30 88
1048 72 17
1049 10 12
1050 90 24
1051 89 31
1052 27 26
1053 18 19
1054 82 34
1055 44 56
1056 17 39
1057 60 88
1058 90 42
1059 0 38
1060 18 24
1061 29 75
1062 47 13
1063 32 60
1064 52 63
1065 21 86
1066 7 54
1067 82 10
1068 6 33
1069 66 38
1070 59 36
1071 73 61
1072 57 90
1073 37 69
1074 49 38
1075 59 48
1076 37 83
1077 37 30
1078 50 79
1079 49 67
1080 25 67
1081 57 70
1082 47 55
1083 56 64
1084 50 5
1085 76 31
1086 32 49
1087 29 34
1088 24 69
1089 9 30
1090 58 16
1091 36 39
1092 28 54
1093 85 83
1094 80 24
1095 51 5
1096 45 10
1097 26 28
1098 25 50
1099 22 35
1100 7 29
1101 8 28
1102 84 54
1103 34 79
1104 87 9
1105 57 83
1106 56 58
1107 44 71
1108 90 19
1109 82 3
1110 41 87
1111 8 47
1112 21 90
1113 73 25
1114 5 32
1115 2 2
1116 46 3
1117 26 75
1118 23 30
1119 19 25
1120 0 74
1121 89 14
1122 87 20
1123 81 84
1124 75 21
1125 73 45
1126 87 83
1127 62 80
1128 68 45
1129 50 13
1130 10 70
1131 73 80
1132 31 50
1133 22 77
1134 82 59
1135 61 70
1136 64 40
1137 53 21
1138 71 25
1139 80 69
1140 83 32
1141 78 11
1142 56 3
1143 24 12
1144 73 9
1145 21 4
1146 1 81
1147 81 16
1148 16 84
1149 32 37
1150 26 73
1151 14 11
1152 29 16
1153 78 16
1154 28 42
1155 52 33
1156 49 13
1157 4 43
1158 54 86
1159 62 36
1160 8 4
1161 8 48
1162 11 73
1163 69 54
1164 78 44
1165 26 80
1166 49 71
1167 72 31
1168 25 45
1169 22 36
1170 57 49
1171 33 10
1172 33 88
1173 8 55
1174 55 0
1175 77 79
1176 9 12
1177 26 27
1178 13 9
1179 87 13
1180 20 12
1181 89 47
1182 5 66
1183 57 89
1184 67 0
1185 50 41
1186 23 0
1187 74 37
1188 5 69
1189 75 46
1190 46 26
1191 43 8
1192 46 9
1193 9 90
1194 47 64
1195 48 89
1196 28 7
1197 62 55
1198 34 0
1199 26 40
1200 83 64
1201 67 54
1202 12 60
1203 35 26
1204 55 55
1205 10 76
1206 46 67
1207 79 69
1208 67 40
1209 67 37
1210 89 52
1211 87 64
1212 68 74
1213 26 60
1214 11 7
1215 17 1
1216 45 19
1217 2 89
1218 41 3
1219 23 41
1220 18 54
1221 73 67
1222 47 83
1223 88 43
1224 81 24
1225 3 50
1226 8 0
1227 70 71
1228 42 3
1229 35 57
1230 64 76
1231 47 73
1232 17 23
1233 3 44
1234 78 47
1235 37 39
1236 67 65
1237 0 16
1238 50 12
1239 41 31
1240 68 17
1241 22 14
1242 1 50
1243 25 21
1244 65 26
1245 67 4
1246 25 66
1247 70 72
1248 9 1
1249 47 3
1250 4 53
1251 57 68
1252 55 12
1253 77 25
1254 53 72
1255 40 86
1256 26 31
1257 1 47
1258 55 55
1259 37 86
1260 29 20
1261 6 0
1262 66 83
1263 83 19
1264 1 39
1265 37 28
1266 21 50
1267 36 35
1268 30 43
1269 45 65
1270 28 86
1271 48 89
1272 89 45
1273 74 3
1274 78 51
1275 58 18
1276 39 53
1277 28 11
1278 76 19
1279 58 84
1280 10 79
1281 67 45
1282 13 39
1283 52 11
1284 75 15
1285 82 29
1286 8 47
1287 5 1
1288 90 21
1289 42 48
1290 2 55
1291 45 72
1292 11 81
1293 31 31
1294 58 51
1295 59 87
1296 25 46
1297 63 75
1298 20 59
1299 57 63
1300 57 22
1301 29 28
1302 22 56
1303 68 33
1304 76 80
1305 60 22
1306 3 57
1307 64 66
1308 41 61
1309 19 0
1310 68 89
1311 60 86
1312 40 22
1313 39 52
1314 5 83
1315 49 62
1316 44 27
1317 11 20
1318 35 33
1319 47 79
1320 11 19
1321 5 53
1322 85 65
1323 33 90
1324 63 5
1325 63 54
1326 55 9
1327 38 42
1328 46 31
1329 83 24
1330 39 26
1331 41 16
1332 59 11
1333 63 85
1334 71 90
1335 61 42
1336 52 4
1337 44 23
1338 18 64
1339 44 41
1340 51 66
1341 30 52
1342 77 85
1343 23 6
1344 40 81
1345 8 81
1346 35 3
1347 80 72
1348 4 18
1349 45 50
1350 51 17
1351 51 63
1352 32 67
1353 60 28
1354 40 64
1355 24 69
1356 68 30
1357 90 19
1358 25 14
1359 68 76
1360 26 35
1361 45 1
1362 16 62
1363 1 73
1364 17 37
1365 43 60
1366 52 89
1367 45 73
1368 24 8
1369 22 48
1370 54 5
1371 40 69
1372 51 85
1373 21 45
1374 42 73
1375 48 37
1376 69 0
1377 67 62
1378 71 52
1379 40 45
1380 31 3
1381 82 12
1382 1 62
1383 61 50
1384 3 18
1385 9 87
1386 56 12
1387 83 50
1388 63 11
1389 8 68
1390 83 57
1391 18 48
1392 12 90
1393 6 84
1394 57 51
1395 47 31
1396 75 51
1397 39 64
1398 15 76
1399 47 54
1400 67 40
1401 71 61
1402 77 73
1403 48 36
1404 10 80
1405 0 70
1406 55 0
1407 50 41
1408 8 85
1409 35 9
1410 18 54
1411 55 78
1412 62 62
1413 36 85
1414 73 86
1415 38 75
1416 67 59
1417 61 26
1418 41 89
1419 4 64
1420 86 19
1421 77 58
1422 83 25
1423 29 2
1424 13 17
1425 80 24
1426 67 29
1427 75 63
1428 2 37
1429 22 34
1430 30 13
1431 3 79
1432 21 51
1433 22 9
1434 37 80
1435 84 30
1436 89 49
1437 44 20
1438 53 70
1439 62 5
1440 70 68
1441 54 50
1442 11 64
1443 62 47
1444 68 10
1445 1 38
1446 89 40
1447 60 0
1448 76 68
1449 58 52
1450 83 21
1451 11 41
1452 54 63
1453 28 53
1454 22 26
1455 89 12
1456 40 15
1457 40 36
1458 44 51
1459 35 66
1460 79 12
1461 41 87
1462 54 71
1463 37 41
1464 50 27
1465 59 66
1466 26 87
1467 16 25
1468 26 19
1469 90 11
1470 62 21
1471 74 67
1472 80 28
1473 67 67
1474 63 90
1475 10 61
1476 46 1
1477 12 61
1478 63 81
1479 51 31
1480 83 2
1481 13 16
1482 40 12
1483 45 39
1484 33 33
1485 79 43
1486 44 24
1487 3 30
1488 23 21
1489 32 79
1490 54 10
1491 9 57
1492 12 39
1493 17 22
1494 0 74
1495 48 56
1496 42 3
1497 45 74
1498 6 26
1499 40 29
1500 5 65
1501 85 54
1502 18 16
1503 66 82
1504 78 21
1505 32 47
1506 11 60
1507 22 74
1508 49 16
1509 42 44
1510 63 28
1511 0 86
1512 76 30
1513 52 79
1514 25 46
1515 13 88
1516 47 67
1517 18 53
1518 77 23
1519 39 2
1520 29 36
1521 9 71
1522 23 48
1523 72 90
1524 3 60
1525 48 66
1526 47 51
1527 49 34
1528 16 70
1529 80 40
1530 37 90
1531 15 58
1532 57 50
1533 85 31
1534 42 14
1535 43 39
1536 2 78
1537 76 5
1538 17 26
1539 77 24
1540 8 37
1541 2 10
1542 14 69
1543 47 53
1544 32 55
1545 3 55
1546 82 64
1547 4 37
1548 89 54
1549 78 74
1550 47 72
1551 49 17
1552 42 83
1553 65 44
1554 38 41
1555 32 35
1556 7 0
1557 3 47
1558 12 37
1559 19 11
1560 51 83
1561 66 0
1562 28 2
1563 16 34
1564 67 53
1565 40 60
1566 63 5
1567 66 65
1568 7 8
1569 75 53
1570 2 52
1571 19 90
1572 25 90
1573 20 4
1574 40 20
1575 31 0
1576 36 37
1577 31 0
1578 35 9
1579 3 29
1580 28 14
1581 39 51
1582 78 45
1583 6 29
1584 50 19
1585 5 27
1586 68 27
1587 76 6
1588 4 32
1589 45 63
1590 71 68
1591 76 14
1592 58 39
1593 60 50
1594 6 40
1595 65 55
1596 1 77
1597 45 83
1598 34 61
1599 9 20
1600 46 89
1601 66 69
1602 36 41
1603 38 61
1604 23 4
1605 8 18
1606 53 88
1607 39 1
1608 80 37
1609 66 34
1610 65 7
1611 58 65
1612 78 13
1613 33 58
1614 26 53
1615 55 44
1616 42 67
1617 7 71
1618 83 29
1619 12 75
1620 7 47
1621 69 51
1622 61 7
1623 76 90
1624 43 72
1625 25 37
1626 14 1
1627 14 2
1628 90 62
1629 63 3
1630 77 36
1631 42 48
1632 30 83
1633 49 29
1634 44 45
1635 78 14
1636 77 41
1637 84 55
1638 53 12
1639 49 59
1640 33 71
1641 52 75
1642 5 86
1643 67 21
1644 45 54
1645 45 37
1646 33 42
1647 70 28
1648 48 1
1649 21 61
1650 14 44
1651 80 32
1652 90 25
1653 83 27
1654 25 85
1655 80 31
1656 89 64
1657 72 72
1658 59 18
1659 90 83
1660 62 29
1661 14 24
1662 66 2
1663 22 37
1664 4 47
1665 19 43
1666 59 69
1667 36 46
1668 83 75
1669 14 55
1670 85 72
1671 14 27
1672 34 77
1673 39 37
1674 64 15
1675 2 5
1676 56 39
1677 76 90
1678 4 73
1679 2 23
1680 18 71
1681 87 56
1682 63 24
1683 50 17
1684 63 59
1685 90 68
1686 9 9
1687 65 88
1688 37 58
1689 44 86
1690 46 57
1691 40 34
1692 53 21
1693 77 63
1694 64 64
1695 44 50
1696 53 9
1697 64 15
1698 90 20
1699 78 61
1700 66 84
1701 31 22
1702 90 90
1703 48 48
1704 80 15
1705 41 59
1706 20 0
1707 34 1
1708 30 23
1709 49 31
1710 20 12
1711 43 37
1712 27 85
1713 24 37
1714 86 43
1715 75 67
1716 74 78
1717 36 14
1718 82 4
1719 39 82
1720 86 9
1721 15 35
1722 4 32
1723 69 61
1724 85 79
1725 18 26
1726 19 20
1727 62 25
1728 89 49
1729 34 24
1730 68 74
1731 19 17
1732 40 8
1733 20 56
1734 27 73
1735 75 6
1736 62 25
1737 84 10
1738 19 89
1739 43 45
1740 25 76
1741 88 18
1742 58 90
1743 36 31
1744 84 82
1745 50 79
1746 50 29
1747 8 74
1748 68 18
1749 4 40
1750 83 2
1751 15 69
1752 48 80
1753 74 18
1754 38 17
1755 15 55
1756 83 1
1757 27 78
1758 76 74
1759 56 45
1760 43 40
1761 12 81
1762 8 2
1763 15 41
1764 80 54
1765 61 12
1766 5 16
1767 68 28
1768 65 41
1769 35 13
1770 42 15
1771 12 13
1772 38 9
1773 58 0
1774 25 66
1775 20 69
1776 20 90
1777 7 80
1778 22 2
1779 54 27
1780 21 65
1781 41 6
1782 48 51
1783 53 18
1784 0 81
1785 83 62
1786 86 69
1787 2 2
1788 37 10
1789 9 9
1790 56 62
1791 50 7
1792 22 76
1793 5 58
1794 41 28
1795 8 88
1796 62 50
1797 40 15
1798 42 47
1799 71 1
1800 67 88
1801 52 45
1802 78 35
1803 89 25
1804 68 31
1805 54 20
1806 60 4
1807 6 33
1808 38 27
1809 19 61
1810 73 72
1811 50 10
1812 16 24
1813 21 46
1814 88 58
1815 29 59
1816 59 14
1817 15 87
1818 75 72
1819 1 57
1820 30 35
1821 86 12
1822 44 6
1823 70 42
1824 16 45
1825 72 10
1826 85 5
1827 83 56
1828 23 21
1829 75 63
1830 78 89
1831 86 60
1832 12 44
1833 70 48
1834 78 83
1835 24 2
1836 8 69
1837 45 4
1838 43 61
1839 54 56
1840 38 44
1841 58 33
1842 54 38
1843 51 90
1844 78 18
1845 2 68
1846 16 14
1847 47 38
1848 34 31
1849 31 50
1850 22 0
1851 74 15
1852 35 85
1853 86 36
1854 3 26
1855 79 81
1856 52 63
1857 85 35
1858 5 47
1859 21 4
1860 74 11
1861 34 75
1862 65 34
1863 87 1
1864 69 56
1865 20 74
1866 43 27
1867 42 48
1868 87 18
1869 48 43
1870 25 61
1871 81 58
1872 71 6
1873 50 7
1874 50 17
1875 29 62
1876 63 37
1877 82 54
1878 24 76
1879 66 22
1880 37 55
1881 41 70
1882 14 85
1883 86 25
1884 6 24
1885 14 78
1886 30 63
1887 76 55
1888 14 47
1889 65 81
1890 84 73
1891 81 57
1892 80 45
1893 64 86
1894 48 59
1895 37 70
1896 31 60
1897 89 14
1898 54 34
1899 15 19
1900 66 47
1901 49 61
1902 45 13
1903 79 5
1904 28 42
1905 37 30
1906 33 89
1907 44 64
1908 39 67
1909 36 25
1910 69 67
1911 90 8
1912 77 9
1913 1 78
1914 21 61
1915 75 55
1916 49 30
1917 28 34
1918 50 54
1919 48 56
1920 19 74
1921 42 62
1922 83 45
1923 41 34
1924 37 14
1925 0 37
1926 27 60
1927 7 51
1928 47 53
1929 86 50
1930 45 51
1931 14 29
1932 70 76
1933 8 79
1934 58 80
1935 22 15
1936 21 61
1937 49 11
1938 76 3
1939 17 37
1940 43 3
1941 52 56
1942 49 0
1943 79 38
1944 61 56
1945 6 55
1946 58 67
1947 7 83
1948 79 78
1949 50 7
1950 17 64
1951 70 32
1952 80 5
1953 42 50
1954 37 59
1955 71 90
1956 66 76
1957 64 0
1958 88 59
1959 43 65
1960 8 8
1961 75 22
1962 3 40
1963 73 1
1964 48 7
1965 26 65
1966 12 57
1967 45 84
1968 81 0
1969 51 70
1970 58 14
1971 9 11
1972 72 24
1973 58 82
1974 78 15
1975 25 2
1976 3 56
1977 82 89
1978 48 78
1979 25 71
1980 76 15
1981 14 41
1982 62 18
1983 10 62
1984 21 41
1985 14 78
1986 32 28
1987 43 39
1988 22 67
1989 4 2
1990 61 12
1991 66 66
1992 85 18
1993 64 2
1994 24 88
1995 37 37
1996 37 81
1997 77 82
1998 2 34
1999 88 30
2000 53 54
2001 44 67
2002 25 17
2003 65 73
2004 15 23
2005 84 5
2006 78 5
2007 69 28
2008 58 65
2009 47 88
2010 30 49
2011 28 49
2012 21 38
2013 62 12
2014 75 68
2015 71 1
2016 12 62
2017 90 82
2018 70 28
2019 87 79
2020 28 54
2021 49 72
2022 66 5
2023 1 42
2024 8 17
2025 74 32
2026 34 57
2027 11 75
2028 81 7
2029 40 80
2030 85 28
2031 0 7
2032 5 71
2033 66 51
2034 71 22
2035 15 47
2036 20 13
2037 86 38
2038 4 22
2039 42 26
2040 17 8
2041 6 79
2042 40 49
2043 90 16
2044 83 81
2045 55 73
2046 90 42
2047 1 24
2048 83 14
2049 58 27
2050 25 83
2051 40 51
2052 12 7
2053 61 49
2054 60 32
2055 24 28
2056 39 62
2057 33 43
2058 41 37
2059 30 88
2060 63 25
2061 51 47
2062 47 88
2063 90 34
2064 41 44
2065 71 45
2066 15 36
2067 49 29
2068 55 85
2069 25 89
2070 72 68
2071 34 76
2072 77 86
2073 20 2
2074 36 22
2075 50 67
2076 61 51
2077 3 48
2078 89 55
2079 39 71
2080 88 63
2081 66 70
2082 58 21
2083 54 89
2084 11 0
2085 42 49
2086 28 88
2087 58 50
2088 80 4
2089 31 63
2090 59 72
2091 50 16
2092 0 46
2093 43 49
2094 53 88
2095 5 74
2096 59 76
2097 40 50
2098 49 8
2099 81 70
2100 41 40
2101 13 15
2102 16 32
2103 60 22
2104 31 0
2105 30 23
2106 79 68
2107 21 22
2108 73 75
2109 26 71
2110 12 42
2111 7 21
2112 8 86
2113 70 5
2114 66 18
2115 41 28
2116 49 42
2117 5 6
2118 21 26
2119 35 77
2120 34 41
2121 76 58
2122 30 85
2123 62 35
2124 56 3
2125 30 6
2126 12 47
2127 0 29
2128 20 88
2129 80 45
2130 18 51
2131 70 41
2132 55 73
2133 23 47
2134 9 37
2135 40 87
2136 84 29
2137 21 51
2138 43 42
2139 30 40
2140 67 10
2141 79 86
